# section_abbrev state_abbrev call_area name
#
# Revision: 2  By Scott Hibbs KD4SIR 
#
# Feb, 5, 2017
#
# ARRL/CANADIAN SECTION ABBREVIATIONS
#
#
CT  CT 1 Connecticut
EB  CA 6 East Bay
EMA MA 1 Eastern Massachusetts
LAX CA 6 Los Angeles
ME  ME 1 Maine
ORG CA 6 Orange
NH  NH 1 New Hampshire
SB  CA 6 Santa Barbara
RI  RI 1 Rhode Island
SCV CA 6 Santa Clara Valley
VT  VT 1 Vermont
SDG CA 6 San Diego
WMA MA 1 Western Massachusetts
SF  CA 6 San Francisco
SJV CA 6 San Joaquin Valley
SV  CA 6 Sacramento Valley
PAC HI 6 Pacific
ENY NY 2 Eastern New York
NLI NY 2 New York City-Long Island
NNJ NJ 2 Northern New Jersey
NNY NY 2 Northern New York
AZ  AZ 7 Arizona
SNJ NJ 2 Southern New Jersey
EWA WA 7 Eastern Washington
WNY NY 2 Western New York
ID  ID 7 Idaho
MT  MT 7 Montana
NV  NV 7 Nevada
OR  OR 7 Oregon
DE  DE 3 Delaware
UT  UT 7 Utah
EPA PA 3 Eastern Pennsylvania
WWA WA 7 Western Washington
MDC MD 3 Maryland-DC
WY  WY 7 Wyoming
WPA PA 3 Western Pennsylvania
AK  AK 7 Alaska
AL  AL 4 Alabama
MI  MI 8 Michigan
GA  GA 4 Georgia
OH  OH 8 Ohio
KY  KY 4 Kentucky
WV  WV 8 West Virginia
NC  NC 4 North Carolina
NFL FL 4 Northern Florida
SC  SC 4 South Carolina
SFL FL 4 Southern Florida
IL  IL 9 Illinois
WCF FL 4 West Central Florida
IN  IN 9 Indiana
TN  TN 4 Tennessee
WI  WI 9 Wisconsin
VA  VA 4 Virginia
PR  -- 4 Puerto Rico
VI  -- 4 Virgin Islands
CO  CO 0 Colorado
IA  IA 0 Iowa
AR  AR 5 Arkansa
KS  KS 0 Kansas
LA  LA 5 Louisiana
MN  MN 0 Minnesota
MS  MS 5 Mississippi
MO  MO 0 Missouri
NM  NM 5 New Mexico
NE  NE 0 Nebraska
NTX TX 5 North Texas
ND  ND 0 North Dakota
OK  OK 5 Oklahoma
SD  SD 0 South Dakota
STX TX 5 South Texas
WTX TX 5 West Texas
MAR -- C Maritime
SK  -- C Saskatchewan
NL  -- C Newfoundland/Labrador
AB  -- C Alberta
QC  -- C Quebec
BC  -- C British Columbia
ON  -- C Ontario
NWT -- C Northwest Territories/Yukon/Nunavut
MB  -- C Manitoba
DX  -- - Foreign
#
# info from ARRL web form by Dan Henderson, N1ND, contests@arrl.org
# Updated: 08/28/01
#
#
#
# Removed this because it doesn't belong in the log 
#    and keeps W.A.S. report from error. - Scott Hibbs KD4SIR 
#
# additional synonyms akb
#
# WVA  WV 8 West Virginia
# STEX TX 5 South Texas
# MD   MD 3 Maryland-DC
# ORE  OR 7 Oregon
# WYO  WY 7 Wyoming
# WIS  WI 9 Wisconsin
# NMEX NM 5 New Mexico
# NDAK ND 0 North Dakota
# SJC  CA 6 San Joaquin Valley
# NEB  NE 0 Nebraska
# NB   NE 0 Nebraska
# ONT  -- C Ontario
# NT   -- C Northwest Territories/Yukon/Nunavut
# ST   TX 5 South Texas
# SFLA FL 4 Southern Florida
